station_id,month,n,n_outlier,pct_outlier,q1,q3,lo,hi
96595,1,281.0,5.0,1.7793594306049825,0.7716666666666666,2.1606666666666663,-1.3118333333333334,4.244166666666667
96595,2,254.0,6.0,2.3622047244094486,0.81025,2.19925,-1.2732500000000004,4.28275
96595,3,279.0,6.0,2.1505376344086025,0.81025,2.3921666666666668,-1.5626250000000006,4.765041666666667
96595,4,270.0,4.0,1.4814814814814816,0.9259999999999999,2.3921666666666668,-1.2732500000000002,4.591416666666667
96595,5,279.0,11.0,3.942652329749104,0.9259999999999999,1.96775,-0.6366250000000002,3.5303750000000003
96595,6,270.0,1.0,0.3703703703703704,0.6173333333333333,1.852,-1.234666666666667,3.7040000000000006
96595,7,279.0,2.0,0.7168458781362007,0.6945,1.7169583333333334,-0.8391874999999999,3.2506458333333335
96595,8,279.0,10.0,3.584229390681003,0.81025,1.8519999999999999,-0.7523749999999999,3.414625
96595,9,270.0,5.0,1.8518518518518516,0.6945,2.0835000000000004,-1.3890000000000002,4.167000000000001
96595,10,279.0,6.0,2.1505376344086025,0.8077336956521739,2.315,-1.453165760869565,4.575899456521739
96595,11,270.0,8.0,2.9629629629629632,0.926,2.0835000000000004,-0.8102500000000002,3.819750000000001
96595,12,279.0,9.0,3.225806451612903,1.0031666666666668,2.3921666666666668,-1.0803333333333331,4.475666666666667
96645,1,281.0,3.0,1.0676156583629894,2.818260869565217,5.401666666666666,-1.056847826086957,9.27677536231884
96645,2,254.0,4.0,1.574803149606299,2.554048913043478,5.015833333333334,-1.138627717391306,8.708509963768119
96645,3,260.0,7.0,2.6923076923076925,2.3921666666666668,4.398499999999999,-0.6173333333333324,7.407999999999999
96645,4,259.0,9.0,3.474903474903475,2.623666666666667,4.51425,-0.21220833333333244,7.3501249999999985
96645,5,273.0,4.0,1.465201465201465,3.0094999999999996,4.7843333333333335,0.3472499999999985,7.446583333333335
96645,6,268.0,14.0,5.223880597014925,3.2409999999999997,5.556,-0.23150000000000093,9.028500000000001
96645,7,279.0,8.0,2.867383512544803,3.858333333333333,6.2505,0.27008333333333256,9.838750000000001
96645,8,279.0,4.0,1.4336917562724014,4.523308695652174,7.2691,0.40462173913043564,11.387786956521738
96645,9,270.0,6.0,2.2222222222222223,3.7232916666666664,7.099333333333333,-1.340770833333334,12.163395833333333
96645,10,279.0,6.0,2.1505376344086025,3.0039880952380953,5.5174166666666675,-0.7661547619047631,9.287559523809525
96645,11,270.0,10.0,3.7037037037037033,2.778,4.244166666666667,0.5787499999999999,6.443416666666667
96645,12,279.0,10.0,3.584229390681003,3.0094999999999996,5.1894583333333335,-0.26043750000000143,8.459395833333335
96651,1,281.0,5.0,1.7793594306049825,3.163833333333333,4.707166666666667,0.848833333333332,7.022166666666667
96651,2,254.0,3.0,1.1811023622047243,2.9323333333333337,4.919375,-0.04822916666666499,7.899937499999998
96651,3,279.0,3.0,1.0752688172043012,2.9323333333333337,4.745749999999999,0.2122083333333351,7.465874999999998
96651,4,270.0,3.0,1.1111111111111112,3.0095000000000005,4.552833333333333,0.6945000000000019,6.867833333333332
96651,5,279.0,2.0,0.7168458781362007,3.2409999999999997,4.822916666666666,0.868125,7.195791666666666
96651,6,270.0,2.0,0.7407407407407408,3.3181666666666665,5.015833333333333,0.7716666666666665,7.562333333333333
96651,7,279.0,1.0,0.35842293906810035,4.167000000000001,6.2505,1.0417500000000022,9.375749999999998
96651,8,279.0,4.0,1.4336917562724014,4.767557971014492,6.559166666666667,2.0801449275362294,9.24657971014493
96651,9,270.0,0.0,0.0,4.417791666666666,6.404833333333333,1.4372291666666652,9.385395833333334
96651,10,279.0,1.0,0.35842293906810035,3.1638333333333333,4.938666666666666,0.5015833333333339,7.600916666666666
96651,11,270.0,2.0,0.7407407407407408,2.855166666666667,4.552833333333333,0.30866666666666775,7.099333333333332
96651,12,279.0,3.0,1.0752688172043012,2.9323333333333337,5.131583333333333,-0.3665416666666661,8.430458333333334
96653,1,280.0,13.0,4.642857142857143,3.6750625,5.671749999999999,0.6800312500000012,8.666781249999998
96653,2,231.0,3.0,1.2987012987012987,3.81975,6.250500000000001,0.17362499999999903,9.896625000000002
96653,3,279.0,5.0,1.7921146953405016,3.8909807692307687,6.250500000000001,0.35170192307692094,9.789778846153848
96653,4,270.0,6.0,2.2222222222222223,3.58825,5.8275673076923065,0.22927403846154037,9.186543269230766
96653,5,279.0,1.0,0.35842293906810035,3.35675,5.627230769230769,-0.04897115384615347,9.032951923076922
96653,6,270.0,1.0,0.3703703703703704,3.0095,5.44025,-0.6366249999999996,9.086375
96653,7,279.0,7.0,2.5089605734767026,3.2409999999999997,5.1686826923076925,0.3494759615384604,8.06020673076923
96653,8,279.0,6.0,2.1505376344086025,3.187576923076923,4.97725,0.5030673076923073,7.661759615384615
96653,9,270.0,6.0,2.2222222222222223,3.35675,5.4113125,0.27490624999999946,8.49315625
96653,10,279.0,14.0,5.017921146953405,3.81975,5.556,1.2153749999999999,8.160375
96653,11,270.0,9.0,3.3333333333333335,3.704,5.6984615384615385,0.7123076923076925,8.690153846153846
96653,12,279.0,12.0,4.301075268817205,3.4725,5.297788461538461,0.7345673076923083,8.035721153846154
96655,1,281.0,11.0,3.9145907473309607,5.478833333333334,7.408,2.5850833333333347,10.30175
96655,2,254.0,9.0,3.543307086614173,5.633166666666667,7.6395,2.6236666666666673,10.649
96655,3,279.0,7.0,2.5089605734767026,5.633166666666666,7.485166666666667,2.855166666666664,10.263166666666669
96655,4,270.0,0.0,0.0,5.401666666666666,7.620208333333332,2.0738541666666674,10.94802083333333
96655,5,279.0,1.0,0.35842293906810035,5.401666666666666,7.253666666666668,2.6236666666666646,10.03166666666667
96655,6,270.0,5.0,1.8518518518518516,5.247333333333333,7.311541666666667,2.1510208333333316,10.407854166666668
