,RMSE,MAE,R2
XGB,0.38636413749109183,0.265424438077553,0.9980782313967936
ANN,0.5849386727650224,0.4291198649704762,0.9955951801803675
SVM,2.7019733360576597,1.8959162937619125,0.9060126087409422
