station_id,date_local,lon,lat,ffmc,ffmc_pred
96595,2023-12-29 00:00:00+00:00,114.53,-0.56,84.15788577698417,84.80509
96645,2023-12-29 00:00:00+00:00,111.66,-2.73,72.02236025916935,71.9526
96651,2023-12-29 00:00:00+00:00,112.93,-2.55,64.98083660495888,64.92141
96653,2023-12-29 00:00:00+00:00,114.9,-1.67,83.33857459725931,83.43799
96655,2023-12-29 00:00:00+00:00,113.95,-2.22,72.55115178776161,72.45655
96595,2023-12-30 00:00:00+00:00,114.53,-0.56,60.27060890756538,60.26309
96645,2023-12-30 00:00:00+00:00,111.66,-2.73,82.05245229751347,82.12662
96651,2023-12-30 00:00:00+00:00,112.93,-2.55,80.7108567354805,80.5843
96653,2023-12-30 00:00:00+00:00,114.9,-1.67,67.6740977004517,67.609856
96655,2023-12-30 00:00:00+00:00,113.95,-2.22,79.36306375307984,79.46402
96595,2023-12-31 00:00:00+00:00,114.53,-0.56,74.91647548149984,74.949554
96645,2023-12-31 00:00:00+00:00,111.66,-2.73,60.21227978450635,60.22573
96651,2023-12-31 00:00:00+00:00,112.93,-2.55,62.17350609448234,62.40056
96653,2023-12-31 00:00:00+00:00,114.9,-1.67,71.69162208824741,71.58781
96655,2023-12-31 00:00:00+00:00,113.95,-2.22,82.04569437197577,81.840324
