ffmc,pred_xgb,pred_ann,pred_svm
75.8159242651498,75.893654,75.346855,69.4746857893815
84.7846164246852,84.3534,84.1945,84.3085752208837
83.212599535496,83.63062,84.04339,83.8851407561094
79.1094085809556,79.1331,79.2748,79.3761136542363
59.1565280967509,59.381744,59.8112,62.1592866169976
67.4841185831922,67.50382,67.6251,64.1024565772247
80.9919390370557,81.140656,80.41044,78.1203208017587
86.6126146304213,86.67271,87.11536,86.9895695249688
56.0955400298371,55.94812,57.17412,58.2045457279096
83.7845575446309,83.95347,85.54185,84.4957084277829
83.1211835598096,83.07676,82.9384,82.6321680154463
88.4174350037621,88.4187,88.470146,87.7477391429592
82.066906209455,82.06187,81.614395,82.7514109351289
85.5568623029794,85.83133,85.96092,86.326676026236
63.7085711932595,63.780666,65.05059,59.0961208220453
84.4228210337844,84.253456,84.10849,84.1681670211976
83.4814466693349,83.335045,83.225845,81.9536866902473
79.1215187907847,79.24638,79.98377,78.8258192095802
80.7517893232766,80.46596,80.51182,78.9351059641366
64.1133845077009,64.17951,65.39283,64.7460496152095
82.9874024529545,83.1271,82.89024,81.7813430262495
83.3240304877563,83.04973,82.8697,81.9578618908264
83.3719456302003,83.171326,83.040405,82.6478865649865
62.4742443109758,62.486618,64.7179,70.5709708601005
62.2268772871988,62.80708,62.888763,65.0051931523789
70.429103435688,70.40562,70.32555,75.279326709565
70.6613861597962,70.72541,70.89031,77.4049455558252
83.4533032372244,83.470375,82.77693,82.6054828380015
81.8312195020442,81.860405,82.34118,81.1768298020032
80.3812229622422,80.67803,80.657486,77.745716612406
82.8485230655453,82.970985,83.78461,84.1222778233681
85.9756975006679,86.050476,86.344795,86.1916689678859
74.5039300939792,74.101654,75.00797,78.0769069912787
83.2071261379938,83.28284,83.62949,83.1449997081357
82.2931186154074,82.83922,83.13299,83.1625993058098
80.7267625895327,80.65391,80.75358,79.7543037436692
85.0854842174851,84.97417,84.471176,84.6114318071555
64.329157797134,64.236664,65.07627,64.7135872212154
60.592194829118,60.51182,61.47613,67.1439454528551
62.0378363880482,62.283943,62.72208,67.3083652474266
49.9296397071082,49.817066,51.412838,55.7699975072191
57.1855655653301,57.412373,58.574688,52.6675173435172
66.3105320711896,66.05604,66.63866,71.6258242478422
79.9816582173961,79.575096,79.15858,79.3330585708827
81.7809770410897,81.96823,81.91949,81.9934207360062
80.9418008955299,80.939835,80.68868,79.7376693382245
71.189820094648,71.09282,71.628235,71.3554051774563
59.0468577063554,59.142937,59.90957,62.9914718013365
63.3102701032495,63.480255,64.49039,60.4756547194719
81.7811220978616,81.54306,81.82658,81.0145196364665
84.6094352839031,84.60957,84.44868,85.0812962080299
82.4774638959553,82.67004,82.74694,82.3810605489832
81.5530929988608,81.57945,81.27668,81.03678126934
